JIT compiled.

============================================================================
PAIR: EUR_USD  OOS=409d
 reg_N   mode  ZW/atr tgt_f   ta  wick |      p/d       P5     nc  skip%   1L%   5+%   IS  OOS  perm_p | status
    30  fixed   50.0p   0.5    6  0.15 |     27.3     13.3    393  99.6% 91.9%  0.3%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   30.0p   0.5    6  0.25 |    342.6    151.0   1155  98.7% 83.8%  1.1%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   50.0p   0.5    6  0.25 |     26.2     13.1    322  99.7% 91.0%  0.3%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   30.0p   0.5    8  0.00 |    373.4    239.8   1291  98.3% 78.4%  1.5%    2/3    3/3   0.000 | 2/3 p=0.00
    30  fixed   50.0p   0.5    8  0.00 |    158.7     33.1    411  99.6% 88.1%  1.2%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   30.0p   0.5    8  0.15 |    384.4    240.8   1131  98.6% 78.1%  1.8%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   50.0p   0.5    8  0.15 |     19.5     15.0    359  99.7% 88.9%  0.0%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   30.0p   0.5    8  0.25 |    415.2    207.6   1023  98.8% 78.3%  1.9%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   50.0p   0.5    8  0.25 |     19.3     14.1    294  99.7% 87.1%  0.0%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   30.0p   0.5   10  0.00 |    486.0    293.0   1163  98.4% 74.3%  1.8%    2/3    3/3   0.000 | 2/3 p=0.00
    30  fixed   50.0p   0.5   10  0.00 |    164.6     42.6    376  99.6% 84.6%  1.6%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   30.0p   0.5   10  0.15 |    506.6    305.6   1022  98.6% 74.0%  2.1%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   50.0p   0.5   10  0.15 |     38.0     21.1    322  99.7% 84.5%  0.3%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   30.0p   0.5   10  0.25 |    421.9    238.7    944  98.8% 75.1%  1.9%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   50.0p   0.5   10  0.25 |     42.4     23.1    274  99.7% 82.5%  0.7%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   30.0p   0.7    6  0.00 |    560.6    172.4   1368  98.3% 84.8%  2.0%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   50.0p   0.7    6  0.00 |     58.3     28.3    428  99.6% 91.4%  1.2%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   30.0p   0.7    6  0.15 |    235.5     62.1   1173  98.6% 83.4%  2.0%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   50.0p   0.7    6  0.15 |     27.3     16.2    366  99.7% 91.8%  0.8%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   30.0p   0.7    6  0.25 |    249.7     80.4   1064  98.8% 83.6%  1.9%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   50.0p   0.7    6  0.25 |     71.9     17.5    302  99.7% 90.7%  1.3%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   30.0p   0.7    8  0.00 |    763.8    307.9   1135  98.4% 79.2%  3.1%    2/3    3/3   0.000 | 2/3 p=0.00
    30  fixed   50.0p   0.7    8  0.00 |     68.5     34.5    374  99.6% 88.2%  1.3%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   30.0p   0.7    8  0.15 |    408.7    107.4   1033  98.6% 78.8%  2.6%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   50.0p   0.7    8  0.15 |     30.4     17.7    329  99.7% 88.8%  0.9%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   30.0p   0.7    8  0.25 |    502.6    199.6    944  98.8% 78.5%  2.9%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   50.0p   0.7    8  0.25 |     74.8     19.0    272  99.7% 86.8%  1.5%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   30.0p   0.7   10  0.00 |    869.3    397.8   1048  98.4% 75.4%  3.3%    2/3    3/3   0.000 | 2/3 p=0.00
    30  fixed   50.0p   0.7   10  0.00 |     78.4     37.0    338  99.6% 84.3%  1.8%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   30.0p   0.7   10  0.15 |    530.3    206.9    926  98.7% 74.3%  3.2%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   50.0p   0.7   10  0.15 |     39.1     23.6    294  99.7% 85.0%  1.4%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   30.0p   0.7   10  0.25 |    509.1    167.2    867  98.8% 75.0%  3.0%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   50.0p   0.7   10  0.25 |     84.8     27.7    255  99.7% 83.1%  2.0%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   30.0p   1.0    6  0.00 |    384.0    210.4   1213  98.3% 84.6%  3.1%    2/3    3/3   0.000 | 2/3 p=0.00
    30  fixed   50.0p   1.0    6  0.00 |     37.2     21.9    408  99.6% 91.9%  1.5%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   30.0p   1.0    6  0.15 |    234.2    162.7   1038  98.6% 82.9%  3.7%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   50.0p   1.0    6  0.15 |     10.2     -7.6    345  99.7% 91.6%  1.2%    3/3    2/3   0.145 | 3/2 p=0.14
    30  fixed   30.0p   1.0    6  0.25 |    208.5    136.5    928  98.8% 83.0%  3.3%    2/3    3/3   0.000 | 2/3 p=0.00
    30  fixed   50.0p   1.0    6  0.25 |     23.8     -4.5    286  99.7% 90.2%  1.7%    3/3    3/3   0.120 | 3/3 p=0.12
    30  fixed   30.0p   1.0    8  0.00 |    286.9    -36.1   1013  98.4% 79.2%  4.3%    1/3    2/3   0.065 | 1/2 p=0.07
    30  fixed   50.0p   1.0    8  0.00 |     73.1     30.9    348  99.6% 88.2%  2.3%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   30.0p   1.0    8  0.15 |    147.5   -144.3    908  98.6% 78.1%  4.3%    3/3    2/3   0.170 | 3/2 p=0.17
    30  fixed   50.0p   1.0    8  0.15 |     46.2      1.3    304  99.7% 88.2%  2.0%    3/3    3/3   0.065 | 3/3 p=0.07
    30  fixed   30.0p   1.0    8  0.25 |    134.5   -131.8    826  98.9% 78.3%  4.1%    2/3    2/3   0.165 | 2/2 p=0.17
    30  fixed   50.0p   1.0    8  0.25 |     71.7     11.2    246  99.7% 85.4%  3.3%    3/3    3/3   0.010 | 🟢 PASS
    30  fixed   30.0p   1.0   10  0.00 |    276.7      1.3    923  98.4% 75.5%  4.3%    1/3    2/3   0.095 | 1/2 p=0.10
    30  fixed   50.0p   1.0   10  0.00 |    114.7     51.2    309  99.6% 85.8%  3.2%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   30.0p   1.0   10  0.15 |    174.7    -68.8    802  98.7% 73.7%  5.4%    3/3    2/3   0.145 | 3/2 p=0.14
    30  fixed   50.0p   1.0   10  0.15 |     87.5     19.7    265  99.7% 84.9%  3.0%    3/3    3/3   0.010 | 🟢 PASS
    30  fixed   30.0p   1.0   10  0.25 |    144.9   -149.9    745  98.9% 74.4%  4.8%    2/3    2/3   0.215 | 2/2 p=0.21
    30  fixed   50.0p   1.0   10  0.25 |    101.3     31.3    228  99.7% 82.0%  4.4%    3/3    3/3   0.000 | 🟢 PASS
    30    atr 2.0×ATR   0.5    6  0.00 | -720173025730137728.0 -1697672192517861632.0  11023  52.7% 67.0%  3.8%    2/3    1/3   0.900 | 2/1 p=0.90
    30    atr 3.0×ATR   0.5    6  0.00 | 70927011958886392.0 -132572118009536944.0   2758  77.3% 72.2%  2.5%    3/3    2/3   0.270 | 3/2 p=0.27
    30    atr 4.0×ATR   0.5    6  0.00 | 18893091579207016.0 -447943597019953408.0   3608  90.0% 72.7%  2.2%    3/3    2/3   0.425 | 3/2 p=0.42
    30    atr 5.0×ATR   0.5    6  0.00 | 486941747506553792.0 15441842796095312.0   2404  95.5% 75.5%  2.1%    3/3    3/3   0.000 | 🟢 PASS
    30    atr 2.0×ATR   0.5    6  0.15 | -262891181813998080.0 -990481732095213184.0   9899  67.8% 67.1%  3.9%    1/3    1/3   0.710 | 1/1 p=0.71
    30    atr 3.0×ATR   0.5    6  0.15 | 1010650028776117760.0 150842869088651072.0   2419  83.6% 71.4%  2.5%    3/3    2/3   0.000 | 3/2 p=0.00
    30    atr 4.0×ATR   0.5    6  0.15 | 4403417604190425.5 -551650908629341056.0   3390  91.9% 72.7%  2.1%    3/3    1/3   0.525 | 3/1 p=0.53
    30    atr 5.0×ATR   0.5    6  0.15 | 482358373608880704.0 15659531260267688.0   2183  96.2% 75.1%  2.0%    3/3    3/3   0.000 | 🟢 PASS
    30    atr 2.0×ATR   0.5    6  0.25 | 3138422372047335936.0 -995153643804903680.0   8898  75.2% 66.9%  3.9%    2/3    2/3   0.500 | 2/2 p=0.50
    30    atr 3.0×ATR   0.5    6  0.25 | 886246848155750144.0 39772949309804872.0   2278  86.4% 72.2%  2.7%    2/3    3/3   0.060 | 2/3 p=0.06
    30    atr 4.0×ATR   0.5    6  0.25 | 104570095375399376.0 -468267753241370432.0   3128  93.2% 72.0%  2.4%    3/3    1/3   0.375 | 3/1 p=0.38
    30    atr 5.0×ATR   0.5    6  0.25 | 483876239628383296.0 15685249639329484.0   1959  96.8% 74.5%  1.9%    3/3    3/3   0.005 | 🟢 PASS
    30    atr 2.0×ATR   0.5    8  0.00 | 7717826985588528128.0 -758626725895886720.0  10148  53.4% 65.6%  3.9%    2/3    2/3   0.425 | 2/2 p=0.42
    30    atr 3.0×ATR   0.5    8  0.00 | 153127154390629376.0 32645552158320408.0   2447  77.2% 69.6%  2.4%    3/3    3/3   0.000 | 🟢 PASS
    30    atr 4.0×ATR   0.5    8  0.00 | 47824363033695608.0 -314578215487629632.0   3173  89.8% 69.3%  2.6%    3/3    2/3   0.300 | 3/2 p=0.30
    30    atr 5.0×ATR   0.5    8  0.00 | 483680587060395648.0 11783748559206736.0   2074  95.4% 71.0%  2.6%    3/3    3/3   0.000 | 🟢 PASS
    30    atr 2.0×ATR   0.5    8  0.15 | -307261219266260800.0 -954367743118887936.0   9549  67.5% 66.0%  3.9%    2/3    1/3   0.770 | 2/1 p=0.77
    30    atr 3.0×ATR   0.5    8  0.15 | 670194298194926976.0 -171298283827925568.0   2158  83.4% 68.8%  2.6%    3/3    1/3   0.190 | 3/1 p=0.19
    30    atr 4.0×ATR   0.5    8  0.15 | 72518557340430336.0 -454831264261153344.0   2966  91.5% 69.3%  2.6%    3/3    2/3   0.390 | 3/2 p=0.39
    30    atr 5.0×ATR   0.5    8  0.15 | 480093669448933888.0 13721684056720354.0   1945  96.1% 71.3%  2.2%    3/3    3/3   0.000 | 🟢 PASS
    30    atr 2.0×ATR   0.5    8  0.25 | 3594826295852818432.0 -560437496785071680.0   8601  74.9% 65.8%  3.9%    2/3    2/3   0.335 | 2/2 p=0.34
    30    atr 3.0×ATR   0.5    8  0.25 | 745590496635258112.0 57553886380240536.0   2012  86.4% 69.7%  3.0%    2/3    3/3   0.000 | 2/3 p=0.00
    30    atr 4.0×ATR   0.5    8  0.25 | 75919216627751488.0 -456621216239702720.0   2781  92.9% 69.0%  2.7%    3/3    1/3   0.475 | 3/1 p=0.47
    30    atr 5.0×ATR   0.5    8  0.25 | 483134087563938048.0 15017224779854898.0   1780  96.7% 70.8%  2.1%    3/3    3/3   0.000 | 🟢 PASS
    30    atr 2.0×ATR   0.5   10  0.00 | 8364682089431704576.0 -605048764052385024.0   9957  53.9% 65.3%  4.0%    2/3    3/3   0.230 | 2/3 p=0.23
    30    atr 3.0×ATR   0.5   10  0.00 | 472823335110468672.0 113407164918730544.0   2260  77.6% 67.5%  2.7%    3/3    3/3   0.000 | 🟢 PASS
    30    atr 4.0×ATR   0.5   10  0.00 | 34241581426518748.0 -324022896404358208.0   2960  89.5% 67.7%  2.7%    3/3    2/3   0.380 | 3/2 p=0.38
    30    atr 5.0×ATR   0.5   10  0.00 | 554686798169465664.0 18804168202681072.0   1943  95.2% 69.4%  2.8%    3/3    3/3   0.000 | 🟢 PASS
    30    atr 2.0×ATR   0.5   10  0.15 | 187555936974880032.0 -705577421373636096.0   9471  67.5% 65.8%  3.9%    2/3    2/3   0.295 | 2/2 p=0.29
    30    atr 3.0×ATR   0.5   10  0.15 | 848973204745625216.0 -80116407033525888.0   2026  83.2% 67.4%  2.8%    3/3    2/3   0.130 | 3/2 p=0.13
    30    atr 4.0×ATR   0.5   10  0.15 | 72332896313925136.0 -469703228252585856.0   2748  91.3% 68.2%  2.7%    3/3    2/3   0.420 | 3/2 p=0.42
    30    atr 5.0×ATR   0.5   10  0.15 | 484457896839843904.0 15189287365837268.0   1772  96.0% 70.1%  2.4%    3/3    3/3   0.000 | 🟢 PASS
    30    atr 2.0×ATR   0.5   10  0.25 | 3600341284668105216.0 -603792191646172928.0   8549  74.8% 65.5%  3.9%    2/3    2/3   0.290 | 2/2 p=0.29
    30    atr 3.0×ATR   0.5   10  0.25 | 731223228902004992.0 46356951691021752.0   1898  86.3% 68.2%  3.1%    2/3    3/3   0.000 | 2/3 p=0.00
    30    atr 4.0×ATR   0.5   10  0.25 | 12571804580127286.0 -610587404693843968.0   2598  92.8% 68.2%  2.8%    3/3    1/3   0.440 | 3/1 p=0.44
    30    atr 5.0×ATR   0.5   10  0.25 | 482677575829218944.0 18133255450358352.0   1640  96.7% 69.5%  2.3%    3/3    3/3   0.000 | 🟢 PASS
    30    atr 2.0×ATR   0.7    6  0.00 | 4144473233712614400.0 241762944998766336.0   8386  47.9% 63.5%  5.1%    2/3    3/3   0.075 | 2/3 p=0.07
    30    atr 3.0×ATR   0.7    6  0.00 | 157434667117081792.0 -174616157472817152.0   4838  76.3% 69.2%  3.6%    3/3    2/3   0.310 | 3/2 p=0.31
    30    atr 4.0×ATR   0.7    6  0.00 | 412157214944476416.0 -7326213505237595.0   2786  89.8% 71.2%  3.5%    3/3    2/3   0.155 | 3/2 p=0.15
    30    atr 5.0×ATR   0.7    6  0.00 | 174313627231233536.0 4021768244585743.5   1983  95.5% 74.8%  2.5%    3/3    3/3   0.000 | 🟢 PASS
    30    atr 2.0×ATR   0.7    6  0.15 | 3170489558597327872.0 -392961378826390976.0   7463  65.9% 62.7%  5.3%    3/3    3/3   0.230 | 3/3 p=0.23
    30    atr 3.0×ATR   0.7    6  0.15 | 168760564712522016.0 -99378473608138608.0   4511  82.4% 68.6%  3.9%    3/3    2/3   0.200 | 3/2 p=0.20
    30    atr 4.0×ATR   0.7    6  0.15 | -21244891857932232.0 -731222425429977984.0   2733  91.7% 71.8%  3.1%    3/3    2/3   0.490 | 3/2 p=0.49
    30    atr 5.0×ATR   0.7    6  0.15 | 19470131146696832.0 295185891775330.2   1923  96.2% 74.6%  2.0%    3/3    3/3   0.000 | 🟢 PASS
    30    atr 2.0×ATR   0.7    6  0.25 | 323094736780997120.0 -739116230412611840.0   7034  74.4% 62.5%  5.0%    3/3    1/3   0.435 | 3/1 p=0.43
    30    atr 3.0×ATR   0.7    6  0.25 | 546084511330918080.0 241235787121377184.0   4211  86.0% 68.2%  3.6%    3/3    3/3   0.000 | 🟢 PASS
    30    atr 4.0×ATR   0.7    6  0.25 | -5224489367226970.0 -694717997219100928.0   2566  93.0% 70.9%  3.1%    3/3    2/3   0.495 | 3/2 p=0.49
    30    atr 5.0×ATR   0.7    6  0.25 | 20097867307270272.0 1248369210906633.8   1764  96.8% 73.9%  2.1%    3/3    3/3   0.000 | 🟢 PASS
    30    atr 2.0×ATR   0.7    8  0.00 | 532886128070010816.0 -933802116420471680.0   7733  47.5% 60.8%  5.3%    3/3    2/3   0.325 | 3/2 p=0.33
    30    atr 3.0×ATR   0.7    8  0.00 | 92123562374501408.0 -246883106855754400.0   4094  75.2% 64.4%  4.1%    2/3    2/3   0.325 | 2/2 p=0.33
    30    atr 4.0×ATR   0.7    8  0.00 | 370909756124169088.0 -918660083291940.5   2502  89.2% 68.2%  4.0%    3/3    2/3   0.115 | 3/2 p=0.12
    30    atr 5.0×ATR   0.7    8  0.00 | 201871536989357312.0 3470893871706880.0   1591  95.4% 68.7%  3.5%    3/3    3/3   0.000 | 🟢 PASS
    30    atr 2.0×ATR   0.7    8  0.15 | -443734137699854592.0 -1183418335918611968.0   6967  65.2% 60.3%  5.4%    3/3    0/3   0.835 | 3/0 p=0.83
    30    atr 3.0×ATR   0.7    8  0.15 | 131934083351816688.0 -129427421569356384.0   3864  81.6% 64.5%  4.2%    1/3    2/3   0.220 | 1/2 p=0.22
    30    atr 4.0×ATR   0.7    8  0.15 | -23914336556588900.0 -731103664887540864.0   2423  91.2% 68.3%  3.7%    3/3    2/3   0.570 | 3/2 p=0.57
    30    atr 5.0×ATR   0.7    8  0.15 | 49197571567552424.0 321950287432935.2   1632  96.0% 69.5%  2.8%    3/3    3/3   0.000 | 🟢 PASS
    30    atr 2.0×ATR   0.7    8  0.25 | -320696311777383936.0 -1131816663393621632.0   6469  73.7% 59.6%  5.3%    3/3    0/3   0.720 | 3/0 p=0.72
    30    atr 3.0×ATR   0.7    8  0.25 | 243226825130784864.0 -25155696175386388.0   3635  85.6% 64.2%  4.0%    1/3    3/3   0.075 | 1/3 p=0.07
    30    atr 4.0×ATR   0.7    8  0.25 | -2719108545768736.5 -718781340294193664.0   2282  92.7% 67.7%  3.6%    2/3    2/3   0.460 | 2/2 p=0.46
    30    atr 5.0×ATR   0.7    8  0.25 | 48677296069661864.0 448528077927468.7   1514  96.6% 68.8%  3.2%    3/3    3/3   0.000 | 🟢 PASS
    30    atr 2.0×ATR   0.7   10  0.00 | 1451148275131391232.0 -17017792420073420.0   7294  47.7% 59.7%  5.3%    3/3    3/3   0.105 | 3/3 p=0.10
    30    atr 3.0×ATR   0.7   10  0.00 | -264989947717002304.0 -858490409989690624.0   3648  75.3% 61.6%  4.5%    2/3    0/3   0.750 | 2/0 p=0.75
    30    atr 4.0×ATR   0.7   10  0.00 | 417685174182808960.0 2019196841668808.8   2218  88.4% 64.7%  4.1%    3/3    2/3   0.100 | 3/2 p=0.10
    30    atr 5.0×ATR   0.7   10  0.00 | 198491131779280288.0 5178834468137517.0   1463  95.3% 66.9%  4.3%    2/3    3/3   0.000 | 2/3 p=0.00
    30    atr 2.0×ATR   0.7   10  0.15 | 2662365238994448384.0 -699812148638852608.0   6510  65.1% 58.7%  5.8%    3/3    2/3   0.355 | 3/2 p=0.35
    30    atr 3.0×ATR   0.7   10  0.15 | 154337915198146752.0 -130301057186302304.0   3438  81.0% 61.9%  4.6%    2/3    2/3   0.215 | 2/2 p=0.21
    30    atr 4.0×ATR   0.7   10  0.15 | -19263001981007912.0 -726988631391175936.0   2120  90.8% 65.0%  4.1%    3/3    2/3   0.520 | 3/2 p=0.52
    30    atr 5.0×ATR   0.7   10  0.15 | 49658569081960712.0 1883656713415005.2   1454  96.0% 67.0%  3.5%    2/3    3/3   0.000 | 2/3 p=0.00
    30    atr 2.0×ATR   0.7   10  0.25 | -371595703152120064.0 -1155776055764505344.0   6211  73.4% 58.3%  5.6%    3/3    1/3   0.820 | 3/1 p=0.82
    30    atr 3.0×ATR   0.7   10  0.25 | 261078066860416384.0 -57920351072288304.0   3291  85.3% 62.3%  4.5%    2/3    3/3   0.105 | 2/3 p=0.10
    30    atr 4.0×ATR   0.7   10  0.25 | -1076531909286059.8 -704782985675871488.0   2030  92.4% 65.1%  3.9%    2/3    2/3   0.515 | 2/2 p=0.52
    30    atr 5.0×ATR   0.7   10  0.25 | 49138293578288688.0 1449003348564636.5   1359  96.6% 66.8%  3.6%    2/3    3/3   0.000 | 2/3 p=0.00
    30    atr 2.0×ATR   1.0    6  0.00 | 3393167867755766272.0 -74081925666607456.0   6080  44.5% 62.2%  8.0%    0/3    3/3   0.065 | 0/3 p=0.07
    30    atr 3.0×ATR   1.0    6  0.00 | 24335500653541504.0 1494329191766780.5   3597  76.1% 69.3%  5.2%    1/3    3/3   0.040 | 1/3 p=0.04
    30    atr 4.0×ATR   1.0    6  0.00 | 166809429393707872.0 -1037120982457406.0   2212  89.4% 72.7%  5.1%    3/3    3/3   0.130 | 3/3 p=0.13
    30    atr 5.0×ATR   1.0    6  0.00 | 4712680935783208.0 56666413852075.6   1800  95.4% 76.3%  3.8%    2/3    2/3   0.040 | 2/2 p=0.04
    30    atr 2.0×ATR   1.0    6  0.15 | 1877011588064965120.0 -317226584565193856.0   5223  64.6% 61.2%  8.4%    0/3    2/3   0.185 | 0/2 p=0.18
    30    atr 3.0×ATR   1.0    6  0.15 | -50266930499996416.0 -175070307725005728.0   3424  82.5% 68.7%  5.2%    3/3    1/3   0.495 | 3/1 p=0.49
    30    atr 4.0×ATR   1.0    6  0.15 | 156714104365896992.0 1999947741639643.0   2246  91.5% 72.2%  4.8%    3/3    3/3   0.005 | 🟢 PASS
    30    atr 5.0×ATR   1.0    6  0.15 | 22677575054805916.0 81851486674124.4   1572  96.2% 74.9%  4.4%    2/3    3/3   0.045 | 2/3 p=0.04
    30    atr 2.0×ATR   1.0    6  0.25 | 1962577346083796992.0 -386318288482981568.0   4954  73.0% 61.0%  8.2%    2/3    2/3   0.215 | 2/2 p=0.21
    30    atr 3.0×ATR   1.0    6  0.25 | 148282063602952992.0 -77099775404105152.0   3233  86.1% 68.0%  5.1%    2/3    2/3   0.280 | 2/2 p=0.28
    30    atr 4.0×ATR   1.0    6  0.25 | 47930317609809472.0 189780773.4   2190  92.9% 71.7%  4.3%    2/3    3/3   0.000 | 2/3 p=0.00
    30    atr 5.0×ATR   1.0    6  0.25 | 14882319649443.2 21414042.9   1452  96.8% 74.0%  4.1%    2/3    3/3   0.075 | 2/3 p=0.07
    30    atr 2.0×ATR   1.0    8  0.00 | 2766379669411483136.0 -352469406023312192.0   5078  41.6% 56.9%  9.3%    2/3    2/3   0.155 | 2/2 p=0.15
    30    atr 3.0×ATR   1.0    8  0.00 | 25772330194173260.0 3094920302103052.5   2924  74.8% 63.4%  5.9%    3/3    3/3   0.000 | 🟢 PASS
    30    atr 4.0×ATR   1.0    8  0.00 | 174421294881805600.0 18037270.0   1897  88.9% 69.2%  5.4%    2/3    2/3   0.080 | 2/2 p=0.08
    30    atr 5.0×ATR   1.0    8  0.00 | 1569649010878523.5 1445372.5   1444  95.3% 70.3%  5.3%    2/3    2/3   0.000 | 2/2 p=0.00
    30    atr 2.0×ATR   1.0    8  0.15 | 1305580060653863936.0 -1020860757626953856.0   4896  62.0% 56.5%  9.0%    2/3    1/3   0.410 | 2/1 p=0.41
    30    atr 3.0×ATR   1.0    8  0.15 | -94587030654978736.0 -221817649805601408.0   2828  81.4% 64.1%  6.3%    2/3    1/3   0.695 | 2/1 p=0.69
    30    atr 4.0×ATR   1.0    8  0.15 | 147993152987137952.0 -6624096318550410.0   1890  91.2% 67.8%  5.6%    1/3    2/3   0.095 | 1/2 p=0.10
    30    atr 5.0×ATR   1.0    8  0.15 | 293466197821276.6    374.5   1321  96.0% 70.6%  4.9%    2/3    3/3   0.000 | 2/3 p=0.00
    30    atr 2.0×ATR   1.0    8  0.25 | 1615228835633794816.0 -382742178181494528.0   4645  72.0% 56.3%  8.6%    1/3    1/3   0.230 | 1/1 p=0.23
    30    atr 3.0×ATR   1.0    8  0.25 | -102228449205958240.0 -258940957716339584.0   2778  85.7% 64.2%  6.0%    3/3    1/3   0.750 | 3/1 p=0.75
    30    atr 4.0×ATR   1.0    8  0.25 | 47930317868309120.0 530491575.8   1866  92.5% 67.1%  5.1%    2/3    3/3   0.000 | 2/3 p=0.00
    30    atr 5.0×ATR   1.0    8  0.25 | 21415834.7    335.8   1244  96.7% 70.3%  4.7%    2/3    3/3   0.000 | 2/3 p=0.00
    30    atr 2.0×ATR   1.0   10  0.00 | 814907308852335232.0 -1192420101385766656.0   4723  40.8% 54.0%  9.7%    1/3    1/3   0.440 | 1/1 p=0.44
    30    atr 3.0×ATR   1.0   10  0.00 | 29742638994850248.0 7380543696156269.0   2508  73.5% 59.1%  7.0%    3/3    3/3   0.000 | 🟢 PASS
    30    atr 4.0×ATR   1.0   10  0.00 | 54376479223674768.0 -13248192658388730.0   1558  88.0% 64.8%  6.0%    3/3    2/3   0.180 | 3/2 p=0.18
    30    atr 5.0×ATR   1.0   10  0.00 | 1474608900842197.2 891457.5   1310  95.2% 67.9%  6.3%    2/3    3/3   0.000 | 2/3 p=0.00
    30    atr 2.0×ATR   1.0   10  0.15 | 689138086622136320.0 -316522730141006016.0   4444  61.2% 53.4%  9.9%    2/3    2/3   0.180 | 2/2 p=0.18
    30    atr 3.0×ATR   1.0   10  0.15 | 6055071799275307.0 1865562524076135.8   2438  80.6% 59.6%  7.5%    2/3    3/3   0.000 | 2/3 p=0.00
    30    atr 4.0×ATR   1.0   10  0.15 | 107447965935997872.0 11472175.8   1562  90.8% 64.8%  6.3%    3/3    3/3   0.005 | 🟢 PASS
    30    atr 5.0×ATR   1.0   10  0.15 | 293466197821583.8    613.8   1131  96.0% 66.6%  6.5%    2/3    3/3   0.000 | 2/3 p=0.00
    30    atr 2.0×ATR   1.0   10  0.25 | 359053194143332032.0 -636805896054276736.0   4234  71.4% 53.5%  9.4%    1/3    2/3   0.335 | 1/2 p=0.34
    30    atr 3.0×ATR   1.0   10  0.25 | -56414838622603312.0 -176650656220628864.0   2424  84.8% 61.1%  6.8%    3/3    2/3   0.495 | 3/2 p=0.49
    30    atr 4.0×ATR   1.0   10  0.25 | 177928082125146.7 1129014938.5   1514  92.0% 64.9%  5.9%    3/3    3/3   0.000 | 🟢 PASS
    30    atr 5.0×ATR   1.0   10  0.25 | 21415877.7    371.3   1098  96.6% 68.0%  5.2%    2/3    3/3   0.005 | 2/3 p=0.01
    50  fixed   30.0p   0.5    6  0.00 |    421.3    259.8   2030  97.1% 84.1%  1.3%    3/3    3/3   0.000 | 🟢 PASS
    50  fixed   50.0p   0.5    6  0.00 |    144.8     41.4    708  99.3% 92.5%  0.4%    3/3    3/3   0.000 | 🟢 PASS
    50  fixed   30.0p   0.5    6  0.15 |   1975.6    241.6   1771  97.6% 83.7%  1.2%    3/3    3/3   0.000 | 🟢 PASS
    50  fixed   50.0p   0.5    6  0.15 |     42.0     25.5    611  99.4% 92.1%  0.2%    3/3    3/3   0.000 | 🟢 PASS
    50  fixed   30.0p   0.5    6  0.25 |   1883.1    162.8   1568  97.9% 82.8%  1.2%    3/3    3/3   0.000 | 🟢 PASS
    50  fixed   50.0p   0.5    6  0.25 |     37.4     23.0    533  99.5% 91.9%  0.2%    3/3    3/3   0.000 | 🟢 PASS
    50  fixed   30.0p   0.5    8  0.00 |    401.3    272.2   1690  97.3% 79.8%  1.4%    3/3    3/3   0.000 | 🟢 PASS
    50  fixed   50.0p   0.5    8  0.00 |     50.1     33.9    582  99.4% 88.3%  0.5%    3/3    3/3   0.000 | 🟢 PASS
